DATA;DATAFINAL;DESCRICAO;ENDERECO;ESTIMATIVAPUBLICO;NOMELOCAL
01/Jan/2026;01/Jan/2026;Feira cultural;Avenida Afonso Pena, 1000, Centro, Belo Horizonte/MG;10000;Praça Sete
02/Jan/2026;03/Jan/2026;Show musical;Rua da Bahia, 1500, Lourdes, Belo Horizonte/MG;20000;Sesc Palladium
02/Jan/2026;05/Jan/2026;Evento gastronômico;Rua Espírito Santo, 900, Centro, Belo Horizonte/MG;30000;Mercado Central
02/Jan/2026;05/Jan/2026;Exposição de arte;Avenida Álvares Cabral, 400, Centro, Belo Horizonte/MG;1000;Mercado Central
05/Jan/2026;06/Jan/2026;Festival de rua;Rua dos Timbiras, 1200, Funcionários, Belo Horizonte/MG;500;Praça da Liberdade
06/Mai/2026;08/Mai/2026;Apresentação teatral;Rua Rio de Janeiro, 600, Centro, Belo Horizonte/MG;600;Teatro Francisco Nunes
07/Jan/2026;07/Jan/2026;Feira de livros;Avenida Brasil, 1300, Funcionários, Belo Horizonte/MG;700;Biblioteca Pública Estadual
08/Jan/2026;09/Jan/2026;Evento esportivo;Avenida Antônio Carlos, 3000, Pampulha, Belo Horizonte/MG;800;Mineirão
09/Jan/2026;11/Jan/2026;Festival gastronômico;Rua Sapucaí, 500, Floresta, Belo Horizonte/MG;900;Rua Sapucaí Mirante
10/Jun/2026;20/Jun/2026;Show ao vivo;Rua Pium-í, 800, Sion, Belo Horizonte/MG;10000;Arena Hall
11/Jan/2026;12/Jan/2026;Feira cultural;Avenida Afonso Pena, 1000, Centro, Belo Horizonte/MG;100;Praça Sete
12/Jan/2026;14/Jan/2026;Show musical;Rua da Bahia, 1500, Lourdes, Belo Horizonte/MG;200;Sesc Palladium
13/Jan/2026;13/Jan/2026;Evento gastronômico;Rua Espírito Santo, 900, Centro, Belo Horizonte/MG;300;Mercado Central
14/Jan/2026;15/Jan/2026;Exposição de arte;Avenida Álvares Cabral, 400, Centro, Belo Horizonte/MG;400;Palácio das Artes
15/Jan/2026;17/Jan/2026;Festival de rua;Rua dos Timbiras, 1200, Funcionários, Belo Horizonte/MG;500;Praça da Liberdade
16/Jan/2026;16/Jan/2026;Apresentação teatral;Rua Rio de Janeiro, 600, Centro, Belo Horizonte/MG;600;Teatro Francisco Nunes
